                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,2.6307,4.197,2.6654,0.30038,0.06885,0.04366,0.02204,2.0047,3.2121,2.1186,0.070004,0.0033329,0.0033329
1,1.8361,3.1214,1.9373,0.28531,0.15636,0.11783,0.06657,1.7271,2.6011,1.8276,0.039938,0.0066002,0.0066002
2,1.7065,2.7909,1.7975,0.32251,0.20307,0.17116,0.10267,1.5972,2.3365,1.6971,0.0098061,0.0098016,0.0098016
3,1.6253,2.5881,1.7089,0.34098,0.23904,0.21138,0.13036,1.5297,2.1668,1.6193,0.009703,0.009703,0.009703
4,1.5626,2.4328,1.6444,0.38533,0.25434,0.23674,0.14833,1.4856,2.0685,1.5725,0.009703,0.009703,0.009703
5,1.5306,2.3335,1.6042,0.40827,0.26831,0.25321,0.15991,1.4597,2.0092,1.5439,0.009604,0.009604,0.009604
6,1.5054,2.271,1.5781,0.41373,0.27442,0.26318,0.16706,1.4439,1.9739,1.5262,0.009505,0.009505,0.009505
7,1.4894,2.2184,1.5584,0.41794,0.27944,0.27075,0.17263,1.4333,1.9514,1.5144,0.009406,0.009406,0.009406
8,1.4757,2.1801,1.5427,0.42756,0.28177,0.2765,0.17649,1.4261,1.9354,1.5056,0.009307,0.009307,0.009307
9,1.4633,2.1428,1.5293,0.43906,0.28297,0.28097,0.17988,1.42,1.9213,1.4974,0.009208,0.009208,0.009208
10,1.4534,2.1185,1.5176,0.44761,0.2838,0.28625,0.1835,1.414,1.907,1.4892,0.009109,0.009109,0.009109
11,1.4456,2.0954,1.5094,0.45326,0.28557,0.29028,0.18679,1.4073,1.8933,1.4811,0.00901,0.00901,0.00901
12,1.4382,2.0743,1.498,0.45434,0.2917,0.29583,0.19091,1.401,1.8773,1.4726,0.008911,0.008911,0.008911
13,1.4331,2.0567,1.4903,0.46009,0.29386,0.30054,0.19464,1.3952,1.8623,1.4648,0.008812,0.008812,0.008812
14,1.4277,2.0409,1.4835,0.46642,0.29528,0.3056,0.19832,1.3885,1.8466,1.4567,0.008713,0.008713,0.008713
15,1.424,2.0293,1.4799,0.46848,0.30185,0.31057,0.20217,1.3812,1.8296,1.4481,0.008614,0.008614,0.008614
16,1.4173,2.0104,1.472,0.46957,0.30675,0.31529,0.20576,1.3748,1.8134,1.4397,0.008515,0.008515,0.008515
17,1.4145,2.0054,1.4682,0.4715,0.31049,0.3201,0.20919,1.3688,1.7964,1.432,0.008416,0.008416,0.008416
18,1.4098,1.9931,1.462,0.47075,0.31631,0.32498,0.2129,1.3628,1.7803,1.4246,0.008317,0.008317,0.008317
19,1.4063,1.9818,1.456,0.47259,0.3202,0.32938,0.21607,1.3565,1.7645,1.4164,0.008218,0.008218,0.008218
20,1.4016,1.9738,1.4516,0.47671,0.3267,0.33453,0.21931,1.3512,1.7496,1.4095,0.008119,0.008119,0.008119
21,1.3995,1.9614,1.4474,0.4868,0.32982,0.33931,0.22222,1.3461,1.7342,1.4027,0.00802,0.00802,0.00802
22,1.3966,1.9528,1.4441,0.48948,0.33409,0.34388,0.22553,1.3416,1.7193,1.3968,0.007921,0.007921,0.007921
23,1.3926,1.9506,1.4417,0.50016,0.33405,0.34647,0.22796,1.3366,1.7052,1.3905,0.007822,0.007822,0.007822
24,1.3906,1.9404,1.4381,0.4996,0.33983,0.3508,0.23077,1.3317,1.6924,1.3846,0.007723,0.007723,0.007723
25,1.3871,1.9336,1.4345,0.49878,0.33993,0.3537,0.23315,1.3276,1.6805,1.3795,0.007624,0.007624,0.007624
26,1.386,1.9252,1.4297,0.50315,0.34444,0.35753,0.23599,1.3239,1.6686,1.3744,0.007525,0.007525,0.007525
27,1.3852,1.922,1.4294,0.50563,0.34637,0.36075,0.23832,1.3207,1.6582,1.3698,0.007426,0.007426,0.007426
28,1.3835,1.9136,1.4254,0.49816,0.35109,0.36374,0.24076,1.3169,1.6482,1.3651,0.007327,0.007327,0.007327
29,1.3779,1.9071,1.4239,0.50082,0.35295,0.36702,0.24347,1.3134,1.6388,1.3608,0.007228,0.007228,0.007228
30,1.3783,1.9013,1.4215,0.50673,0.35592,0.37018,0.24531,1.3104,1.6301,1.3574,0.007129,0.007129,0.007129
31,1.3752,1.8996,1.4206,0.51568,0.35494,0.37291,0.24741,1.3078,1.6221,1.3544,0.00703,0.00703,0.00703
32,1.3738,1.8916,1.4171,0.51678,0.35809,0.37617,0.24985,1.3052,1.6151,1.3512,0.006931,0.006931,0.006931
33,1.3709,1.8848,1.4144,0.52409,0.35704,0.37864,0.25146,1.3031,1.6088,1.3483,0.006832,0.006832,0.006832
34,1.369,1.8792,1.4114,0.51702,0.36155,0.3802,0.25245,1.3012,1.6032,1.3456,0.006733,0.006733,0.006733
35,1.3648,1.8731,1.4078,0.51941,0.3624,0.38223,0.25397,1.299,1.5967,1.3429,0.006634,0.006634,0.006634
36,1.3639,1.8686,1.4063,0.51703,0.36543,0.38429,0.25548,1.2968,1.5908,1.3402,0.006535,0.006535,0.006535
37,1.3628,1.8644,1.4032,0.50884,0.36706,0.38565,0.25682,1.2953,1.5863,1.3377,0.006436,0.006436,0.006436
38,1.3588,1.8599,1.401,0.51687,0.36858,0.38764,0.25795,1.2933,1.5804,1.3349,0.006337,0.006337,0.006337
39,1.3584,1.8507,1.398,0.51774,0.36812,0.38906,0.25938,1.2916,1.5761,1.3324,0.006238,0.006238,0.006238
40,1.3562,1.8489,1.3969,0.52123,0.36677,0.39043,0.26092,1.2898,1.572,1.3298,0.006139,0.006139,0.006139
41,1.3567,1.8434,1.3958,0.51689,0.37117,0.3922,0.26208,1.288,1.5675,1.3273,0.00604,0.00604,0.00604
42,1.3536,1.8398,1.3936,0.4994,0.38207,0.39392,0.26349,1.286,1.5633,1.3251,0.005941,0.005941,0.005941
43,1.3499,1.8361,1.3911,0.50503,0.38398,0.39568,0.26475,1.2849,1.5596,1.3232,0.005842,0.005842,0.005842
44,1.3502,1.8296,1.3894,0.50955,0.38379,0.39724,0.26591,1.2836,1.5562,1.3212,0.005743,0.005743,0.005743
45,1.3488,1.8259,1.3884,0.51399,0.38415,0.39878,0.26705,1.2818,1.552,1.3189,0.005644,0.005644,0.005644
46,1.3465,1.8222,1.3861,0.51459,0.38674,0.40056,0.26824,1.2793,1.5476,1.3162,0.005545,0.005545,0.005545
47,1.3456,1.8168,1.3838,0.51974,0.38527,0.40218,0.26941,1.2776,1.5446,1.3144,0.005446,0.005446,0.005446
48,1.344,1.8146,1.3822,0.52233,0.38501,0.40333,0.27018,1.2757,1.5409,1.3122,0.005347,0.005347,0.005347
49,1.3388,1.801,1.3774,0.52621,0.38958,0.4064,0.27329,1.2718,1.5314,1.3067,0.00505,0.00505,0.00505
