                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6482,                 4.3146,                  2.638,                0.37423,                0.05453,                0.02905,                0.01426,                 2.0418,                 3.3508,                 2.1163,               0.070004,              0.0033329,              0.0033329
                      1,                 1.8687,                 3.2954,                 1.9394,                0.29944,                0.13674,                0.09245,                0.05102,                 1.7472,                 2.7287,                 1.8209,               0.039872,              0.0065342,              0.0065342
                      2,                 1.7389,                 2.9216,                  1.793,                0.28592,                0.18853,                0.14758,                0.08631,                 1.6257,                 2.4299,                 1.6879,              0.0096081,              0.0096036,              0.0096036
                      3,                 1.6519,                 2.7068,                 1.6974,                0.34955,                0.22101,                0.18962,                 0.1145,                 1.5498,                  2.252,                 1.6051,               0.009406,               0.009406,               0.009406
                      4,                 1.5929,                 2.5329,                 1.6294,                0.38288,                0.23814,                0.21486,                0.13239,                 1.5065,                 2.1467,                 1.5559,               0.009406,               0.009406,               0.009406
                      5,                 1.5558,                  2.431,                 1.5922,                0.38683,                0.25323,                0.23178,                0.14392,                 1.4835,                 2.0834,                 1.5307,               0.009208,               0.009208,               0.009208
                      6,                 1.5269,                 2.3575,                 1.5631,                0.40148,                0.25969,                0.24214,                 0.1516,                 1.4666,                 2.0457,                 1.5131,                0.00901,                0.00901,                0.00901
                      7,                  1.507,                 2.2921,                 1.5388,                0.39867,                0.26378,                0.25046,                0.15738,                 1.4555,                 2.0191,                 1.5003,               0.008812,               0.008812,               0.008812
                      8,                 1.4922,                 2.2549,                 1.5236,                0.40496,                0.26769,                0.25676,                0.16198,                 1.4456,                 1.9973,                 1.4897,               0.008614,               0.008614,               0.008614
                      9,                 1.4798,                 2.2159,                 1.5104,                0.40435,                0.27516,                0.26302,                0.16646,                 1.4368,                 1.9793,                 1.4803,               0.008416,               0.008416,               0.008416
                     10,                 1.4669,                 2.1861,                 1.4995,                0.41823,                0.27764,                0.26858,                0.17059,                 1.4285,                  1.963,                 1.4712,               0.008218,               0.008218,               0.008218
                     11,                  1.459,                 2.1568,                 1.4879,                  0.422,                0.28025,                0.27355,                0.17408,                 1.4209,                 1.9478,                 1.4623,                0.00802,                0.00802,                0.00802
                     12,                  1.449,                  2.136,                 1.4781,                0.42802,                0.28369,                0.27944,                0.17825,                 1.4134,                 1.9322,                 1.4529,               0.007822,               0.007822,               0.007822
                     13,                 1.4431,                 2.1122,                 1.4694,                0.42889,                0.28922,                 0.2849,                0.18233,                 1.4062,                 1.9145,                 1.4442,               0.007624,               0.007624,               0.007624
                     14,                 1.4351,                 2.0939,                 1.4609,                 0.4393,                0.29293,                0.29057,                0.18633,                 1.3992,                 1.8962,                 1.4352,               0.007426,               0.007426,               0.007426
                     15,                 1.4292,                 2.0797,                 1.4545,                0.46034,                0.29604,                 0.2966,                0.19053,                 1.3917,                 1.8783,                 1.4264,               0.007228,               0.007228,               0.007228
                     16,                 1.4232,                 2.0586,                 1.4493,                0.46055,                0.29993,                0.30207,                0.19452,                  1.385,                 1.8603,                 1.4181,                0.00703,                0.00703,                0.00703
                     17,                 1.4189,                 2.0426,                 1.4425,                0.46262,                0.30466,                0.30703,                0.19863,                 1.3783,                  1.843,                 1.4099,               0.006832,               0.006832,               0.006832
                     18,                 1.4129,                 2.0297,                 1.4356,                0.46854,                0.30772,                0.31202,                0.20228,                 1.3719,                 1.8255,                 1.4019,               0.006634,               0.006634,               0.006634
                     19,                 1.4087,                 2.0135,                 1.4313,                0.47741,                0.30924,                 0.3171,                0.20617,                 1.3652,                 1.8081,                 1.3942,               0.006436,               0.006436,               0.006436
                     20,                 1.4046,                 2.0023,                 1.4269,                0.48143,                0.31593,                0.32236,                 0.2101,                 1.3589,                 1.7913,                 1.3875,               0.006238,               0.006238,               0.006238
                     21,                  1.399,                 1.9899,                 1.4212,                0.49144,                0.31929,                0.32742,                0.21387,                 1.3533,                 1.7761,                 1.3812,                0.00604,                0.00604,                0.00604
                     22,                  1.393,                 1.9721,                 1.4157,                0.50074,                0.32052,                0.33201,                0.21732,                 1.3473,                 1.7605,                 1.3745,               0.005842,               0.005842,               0.005842
                     23,                 1.3886,                  1.962,                 1.4141,                 0.4993,                0.32358,                0.33768,                0.22133,                  1.342,                 1.7457,                 1.3691,               0.005644,               0.005644,               0.005644
                     24,                 1.3845,                 1.9517,                 1.4081,                0.50067,                0.32872,                0.34161,                0.22436,                 1.3368,                 1.7313,                  1.363,               0.005446,               0.005446,               0.005446
                     25,                 1.3802,                 1.9384,                 1.4027,                 0.5007,                0.33335,                0.34618,                0.22773,                 1.3322,                 1.7174,                 1.3575,               0.005248,               0.005248,               0.005248
                     26,                 1.3771,                 1.9301,                 1.4004,                0.50869,                0.33608,                0.35063,                0.23042,                 1.3274,                 1.7057,                 1.3526,                0.00505,                0.00505,                0.00505
                     27,                 1.3726,                 1.9199,                 1.3967,                0.51217,                0.33845,                0.35432,                0.23322,                 1.3229,                  1.694,                 1.3477,               0.004852,               0.004852,               0.004852
                     28,                 1.3667,                 1.9095,                 1.3927,                 0.5169,                 0.3388,                0.35781,                0.23592,                 1.3185,                 1.6834,                 1.3427,               0.004654,               0.004654,               0.004654
                     29,                 1.3649,                 1.8949,                 1.3899,                0.51918,                0.33912,                0.36102,                0.23856,                 1.3145,                 1.6741,                 1.3383,               0.004456,               0.004456,               0.004456
                     30,                 1.3617,                  1.893,                 1.3885,                0.52326,                0.33993,                0.36404,                0.24107,                 1.3117,                 1.6653,                 1.3347,               0.004258,               0.004258,               0.004258
                     31,                 1.3541,                 1.8775,                 1.3814,                0.52215,                0.34366,                0.36777,                0.24379,                 1.3083,                 1.6557,                 1.3307,                0.00406,                0.00406,                0.00406
                     32,                 1.3549,                 1.8669,                 1.3791,                0.52364,                0.34665,                0.37089,                 0.2462,                 1.3053,                 1.6468,                 1.3272,               0.003862,               0.003862,               0.003862
                     33,                  1.345,                 1.8597,                 1.3746,                0.52168,                0.34989,                0.37352,                 0.2481,                 1.3015,                 1.6388,                 1.3234,               0.003664,               0.003664,               0.003664
