                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6183,                 4.3603,                 2.6372,                0.31247,                0.04993,                0.02832,                0.01347,                 2.0469,                  3.335,                 2.1143,               0.070004,              0.0033329,              0.0033329
                      1,                 1.8609,                 3.2616,                 1.9439,                0.27603,                0.14327,                0.10331,                0.05694,                 1.7481,                 2.7003,                 1.8253,               0.039872,              0.0065342,              0.0065342
                      2,                 1.7265,                 2.8925,                 1.7946,                0.32038,                0.19795,                0.16038,                0.09362,                 1.6168,                 2.4053,                 1.6886,              0.0096081,              0.0096036,              0.0096036
                      3,                 1.6441,                 2.6711,                 1.6961,                0.34577,                0.22528,                0.20028,                0.12066,                 1.5413,                 2.2236,                 1.6037,               0.009406,               0.009406,               0.009406
                      4,                 1.5807,                 2.5012,                 1.6278,                 0.3682,                0.25085,                0.22946,                0.14056,                 1.4971,                 2.1153,                 1.5531,               0.009406,               0.009406,               0.009406
                      5,                 1.5446,                  2.394,                 1.5873,                0.40926,                0.26321,                0.24832,                0.15386,                 1.4735,                 2.0535,                  1.527,               0.009208,               0.009208,               0.009208
                      6,                 1.5175,                 2.3243,                 1.5578,                0.41261,                0.27463,                0.25955,                0.16232,                 1.4563,                 2.0151,                 1.5084,                0.00901,                0.00901,                0.00901
                      7,                 1.4973,                 2.2644,                 1.5331,                0.42129,                0.28069,                0.26786,                0.16842,                 1.4433,                 1.9862,                 1.4948,               0.008812,               0.008812,               0.008812
                      8,                 1.4824,                 2.2224,                 1.5136,                0.41587,                0.28595,                0.27459,                0.17332,                 1.4332,                 1.9653,                 1.4839,               0.008614,               0.008614,               0.008614
                      9,                 1.4695,                  2.185,                 1.4975,                0.42264,                0.29134,                0.28085,                0.17792,                  1.425,                 1.9476,                 1.4745,               0.008416,               0.008416,               0.008416
                     10,                 1.4564,                 2.1547,                 1.4833,                0.43188,                0.29416,                0.28716,                0.18229,                  1.418,                 1.9319,                 1.4659,               0.008218,               0.008218,               0.008218
                     11,                 1.4485,                 2.1212,                 1.4716,                0.43859,                0.29825,                0.29287,                0.18633,                 1.4111,                 1.9159,                 1.4568,                0.00802,                0.00802,                0.00802
                     12,                   1.44,                 2.1002,                 1.4617,                0.43551,                0.30036,                0.29878,                0.19099,                  1.404,                 1.8992,                 1.4481,               0.007822,               0.007822,               0.007822
                     13,                 1.4327,                 2.0768,                  1.452,                0.43915,                0.30672,                0.30398,                 0.1951,                 1.3972,                 1.8813,                 1.4389,               0.007624,               0.007624,               0.007624
                     14,                 1.4246,                 2.0587,                 1.4451,                0.44952,                0.30882,                0.30931,                0.19903,                 1.3903,                 1.8635,                 1.4293,               0.007426,               0.007426,               0.007426
                     15,                 1.4197,                 2.0444,                 1.4397,                0.44869,                0.31192,                0.31512,                0.20331,                 1.3839,                 1.8465,                 1.4207,               0.007228,               0.007228,               0.007228
                     16,                 1.4129,                 2.0221,                 1.4318,                0.45503,                0.31518,                0.32034,                 0.2076,                 1.3766,                 1.8279,                 1.4115,                0.00703,                0.00703,                0.00703
                     17,                 1.4076,                 2.0112,                 1.4263,                0.46013,                0.31823,                0.32633,                0.21206,                 1.3697,                 1.8102,                 1.4024,               0.006832,               0.006832,               0.006832
                     18,                 1.4037,                 1.9962,                 1.4199,                0.45825,                0.32694,                 0.3322,                0.21615,                 1.3635,                 1.7928,                 1.3943,               0.006634,               0.006634,               0.006634
                     19,                 1.3986,                  1.985,                 1.4154,                0.45806,                0.33003,                0.33709,                0.22005,                 1.3577,                 1.7759,                 1.3865,               0.006436,               0.006436,               0.006436
                     20,                 1.3919,                 1.9685,                 1.4093,                0.45983,                0.33536,                0.34262,                0.22386,                 1.3516,                 1.7595,                 1.3789,               0.006238,               0.006238,               0.006238
                     21,                 1.3886,                 1.9547,                 1.4053,                0.46608,                0.33676,                0.34707,                0.22728,                 1.3456,                 1.7447,                 1.3714,                0.00604,                0.00604,                0.00604
                     22,                 1.3844,                  1.947,                 1.4002,                 0.4707,                0.34173,                 0.3519,                 0.2309,                 1.3399,                 1.7302,                 1.3645,               0.005842,               0.005842,               0.005842
                     23,                 1.3791,                 1.9331,                 1.3944,                0.47547,                0.34441,                0.35662,                0.23452,                 1.3347,                 1.7161,                 1.3581,               0.005644,               0.005644,               0.005644
                     24,                 1.3749,                 1.9203,                 1.3892,                0.48891,                0.34918,                 0.3606,                0.23738,                 1.3295,                 1.7031,                 1.3518,               0.005446,               0.005446,               0.005446
                     25,                 1.3695,                 1.9091,                 1.3858,                0.49555,                0.35132,                0.36445,                0.24039,                 1.3249,                 1.6909,                 1.3459,               0.005248,               0.005248,               0.005248
                     26,                 1.3662,                 1.9001,                 1.3816,                 0.5106,                0.34986,                0.36871,                 0.2434,                 1.3203,                 1.6796,                 1.3401,                0.00505,                0.00505,                0.00505
                     27,                 1.3643,                 1.8901,                 1.3794,                0.50892,                0.35529,                0.37262,                0.24636,                 1.3151,                 1.6676,                 1.3345,               0.004852,               0.004852,               0.004852
                     28,                 1.3601,                 1.8785,                 1.3737,                0.50095,                0.36717,                0.37714,                0.24994,                 1.3112,                 1.6572,                 1.3294,               0.004654,               0.004654,               0.004654
                     29,                 1.3549,                 1.8652,                 1.3709,                0.50473,                0.36952,                0.38092,                0.25269,                 1.3074,                 1.6472,                 1.3249,               0.004456,               0.004456,               0.004456
                     30,                 1.3526,                 1.8562,                 1.3661,                0.50705,                0.37215,                0.38397,                0.25512,                 1.3037,                 1.6383,                 1.3205,               0.004258,               0.004258,               0.004258
                     31,                  1.346,                 1.8464,                 1.3623,                0.50469,                0.37534,                0.38728,                0.25737,                 1.2996,                 1.6299,                  1.316,                0.00406,                0.00406,                0.00406
                     32,                 1.3408,                 1.8361,                 1.3583,                0.51301,                0.37415,                0.38996,                0.25968,                 1.2959,                 1.6222,                  1.312,               0.003862,               0.003862,               0.003862
                     33,                 1.3382,                 1.8262,                 1.3563,                0.51793,                0.37455,                0.39242,                0.26168,                 1.2929,                 1.6143,                 1.3084,               0.003664,               0.003664,               0.003664
                     34,                 1.3323,                 1.8124,                 1.3508,                 0.5265,                0.37422,                0.39474,                0.26353,                 1.2906,                 1.6068,                 1.3054,               0.003466,               0.003466,               0.003466
                     35,                 1.3312,                 1.8016,                 1.3488,                0.52746,                0.37655,                0.39789,                 0.2657,                 1.2877,                 1.5989,                 1.3022,               0.003268,               0.003268,               0.003268
                     36,                 1.3243,                 1.7941,                 1.3447,                0.52993,                0.37885,                0.40062,                0.26755,                 1.2852,                 1.5922,                 1.2993,                0.00307,                0.00307,                0.00307
                     37,                 1.3209,                 1.7833,                 1.3413,                0.53394,                0.38002,                0.40273,                0.26932,                 1.2833,                 1.5861,                 1.2968,               0.002872,               0.002872,               0.002872
                     38,                 1.3149,                 1.7703,                 1.3364,                0.54349,                0.37771,                0.40465,                0.27113,                 1.2806,                 1.5804,                 1.2939,               0.002674,               0.002674,               0.002674
                     39,                 1.3131,                  1.761,                 1.3343,                0.54207,                0.38004,                0.40706,                0.27282,                 1.2785,                 1.5747,                 1.2914,               0.002476,               0.002476,               0.002476
                     40,                 1.3327,                 1.7063,                 1.3487,                0.54495,                0.38228,                0.40973,                0.27505,                 1.2745,                 1.5691,                  1.288,               0.002278,               0.002278,               0.002278
                     41,                 1.3245,                 1.6823,                 1.3415,                0.54764,                0.38483,                0.41274,                0.27716,                 1.2712,                 1.5627,                 1.2851,                0.00208,                0.00208,                0.00208
                     42,                 1.3168,                 1.6608,                 1.3354,                0.55596,                 0.3836,                 0.4146,                0.27881,                 1.2681,                 1.5571,                 1.2825,               0.001882,               0.001882,               0.001882
                     43,                 1.3093,                 1.6453,                 1.3317,                0.56003,                0.38356,                0.41661,                0.28096,                 1.2652,                 1.5517,                 1.2798,               0.001684,               0.001684,               0.001684
                     44,                 1.3018,                 1.6275,                  1.325,                0.56543,                0.38483,                0.41887,                0.28239,                 1.2629,                 1.5457,                 1.2779,               0.001486,               0.001486,               0.001486
                     45,                 1.2949,                  1.609,                 1.3203,                0.56591,                0.38751,                0.42116,                0.28417,                 1.2606,                   1.54,                 1.2758,               0.001288,               0.001288,               0.001288
                     46,                 1.2856,                 1.5913,                 1.3135,                0.56502,                0.38947,                0.42286,                0.28576,                 1.2586,                 1.5342,                 1.2738,                0.00109,                0.00109,                0.00109
                     47,                 1.2816,                 1.5748,                 1.3098,                0.56696,                0.38983,                0.42413,                0.28693,                 1.2571,                 1.5288,                 1.2721,               0.000892,               0.000892,               0.000892
                     48,                 1.2732,                 1.5553,                 1.3043,                0.56808,                0.39056,                0.42643,                0.28855,                 1.2551,                  1.523,                 1.2703,               0.000694,               0.000694,               0.000694
                     49,                 1.2642,                 1.5366,                 1.2981,                0.56903,                 0.3917,                0.42776,                0.28963,                 1.2536,                 1.5179,                 1.2686,               0.000496,               0.000496,               0.000496
