                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,2.7338,4.4345,2.7441,0.38577,0.05001,0.02371,0.01148,2.0442,3.4455,2.1503,0.070004,0.0033329,0.0033329
1,1.8735,3.382,1.9732,0.27872,0.13128,0.08137,0.04548,1.7573,2.8055,1.8489,0.039938,0.0066002,0.0066002
2,1.7401,3.0014,1.8216,0.32627,0.17741,0.13499,0.07928,1.6294,2.4974,1.7166,0.0098061,0.0098016,0.0098016
3,1.6594,2.7737,1.7273,0.32969,0.21499,0.18008,0.10897,1.554,2.3055,1.6272,0.009703,0.009703,0.009703
4,1.5968,2.6053,1.6597,0.35312,0.23588,0.20598,0.12597,1.5093,2.1941,1.5796,0.009703,0.009703,0.009703
5,1.5568,2.4953,1.6181,0.37582,0.24629,0.22218,0.13771,1.4819,2.1321,1.5517,0.009604,0.009604,0.009604
6,1.5274,2.4247,1.5918,0.39583,0.24855,0.23259,0.14593,1.4646,2.0961,1.5336,0.009505,0.009505,0.009505
7,1.5133,2.3689,1.5664,0.40355,0.2548,0.24062,0.15196,1.4537,2.0711,1.5212,0.009406,0.009406,0.009406
8,1.4988,2.3326,1.5538,0.39872,0.25955,0.24658,0.15645,1.4448,2.0512,1.5112,0.009307,0.009307,0.009307
9,1.4875,2.2893,1.54,0.42198,0.26374,0.25231,0.1606,1.4366,2.0338,1.5025,0.009208,0.009208,0.009208
10,1.4809,2.2691,1.5287,0.43001,0.26724,0.25762,0.16439,1.4292,2.0181,1.494,0.009109,0.009109,0.009109
11,1.4694,2.237,1.5186,0.43905,0.26918,0.26329,0.16845,1.4213,2.0014,1.4853,0.00901,0.00901,0.00901
12,1.4619,2.2184,1.5121,0.44357,0.27187,0.26816,0.17206,1.4145,1.985,1.4775,0.008911,0.008911,0.008911
13,1.4579,2.1995,1.5038,0.4491,0.27437,0.27354,0.17608,1.408,1.9675,1.4696,0.008812,0.008812,0.008812
14,1.4537,2.186,1.5003,0.45707,0.27742,0.27882,0.1792,1.4014,1.951,1.4622,0.008713,0.008713,0.008713
15,1.4498,2.1644,1.4932,0.44821,0.2824,0.28424,0.18323,1.3945,1.9337,1.454,0.008614,0.008614,0.008614
16,1.4386,2.1514,1.4872,0.45285,0.28713,0.29048,0.18722,1.3878,1.9166,1.4462,0.008515,0.008515,0.008515
17,1.4359,2.1353,1.4821,0.47278,0.29115,0.29569,0.19094,1.3811,1.8988,1.4383,0.008416,0.008416,0.008416
18,1.4285,2.1295,1.476,0.47356,0.2947,0.30132,0.19504,1.3748,1.8807,1.431,0.008317,0.008317,0.008317
19,1.4255,2.114,1.4685,0.48334,0.29752,0.30685,0.19905,1.3692,1.863,1.4238,0.008218,0.008218,0.008218
20,1.4254,2.1049,1.4678,0.47797,0.30367,0.31072,0.2023,1.3642,1.8486,1.4172,0.008119,0.008119,0.008119
21,1.4212,2.0877,1.46,0.4841,0.30537,0.3148,0.20546,1.3582,1.8322,1.41,0.00802,0.00802,0.00802
22,1.4181,2.0853,1.4562,0.4841,0.30797,0.31923,0.20849,1.3519,1.8159,1.4031,0.007921,0.007921,0.007921
23,1.41,2.0712,1.4499,0.48795,0.31028,0.32357,0.21179,1.346,1.8015,1.3962,0.007822,0.007822,0.007822
24,1.4102,2.0635,1.4471,0.49439,0.31391,0.32818,0.21511,1.3412,1.7869,1.3904,0.007723,0.007723,0.007723
25,1.4103,2.0571,1.4456,0.48946,0.31838,0.33189,0.21761,1.3373,1.7732,1.3848,0.007624,0.007624,0.007624
26,1.4078,2.0461,1.4424,0.49214,0.32102,0.33584,0.22032,1.3337,1.7607,1.3796,0.007525,0.007525,0.007525
27,1.4007,2.0391,1.4365,0.49044,0.32434,0.33885,0.22215,1.3299,1.7479,1.3743,0.007426,0.007426,0.007426
28,1.4011,2.0305,1.4362,0.49404,0.32739,0.34241,0.22479,1.3262,1.7351,1.3692,0.007327,0.007327,0.007327
29,1.3987,2.0271,1.4339,0.48929,0.33009,0.34543,0.22669,1.3227,1.7245,1.3646,0.007228,0.007228,0.007228
30,1.394,2.0188,1.4277,0.49049,0.33452,0.34834,0.22934,1.319,1.7134,1.3598,0.007129,0.007129,0.007129
31,1.3936,2.0084,1.4252,0.48909,0.34019,0.35183,0.23162,1.3164,1.7043,1.3563,0.00703,0.00703,0.00703
32,1.395,2.0122,1.4254,0.49852,0.34051,0.35442,0.23341,1.3134,1.6955,1.3526,0.006931,0.006931,0.006931
33,1.3932,2.0093,1.4242,0.49525,0.34393,0.35685,0.23521,1.3106,1.6867,1.349,0.006832,0.006832,0.006832
34,1.386,1.9956,1.4176,0.50457,0.34598,0.36014,0.23725,1.3078,1.6781,1.3457,0.006733,0.006733,0.006733
35,1.3822,1.9827,1.415,0.50939,0.34714,0.36284,0.23922,1.3051,1.6708,1.3426,0.006634,0.006634,0.006634
36,1.3807,1.9835,1.4146,0.51065,0.34818,0.36527,0.24105,1.3031,1.6634,1.34,0.006535,0.006535,0.006535
37,1.3837,1.9755,1.4129,0.50643,0.35114,0.36753,0.24258,1.3009,1.6563,1.3371,0.006436,0.006436,0.006436
38,1.3809,1.9676,1.4095,0.50617,0.35432,0.36982,0.2442,1.2988,1.6494,1.3343,0.006337,0.006337,0.006337
39,1.3771,1.9645,1.4085,0.50628,0.3543,0.37144,0.24534,1.2966,1.6429,1.3315,0.006238,0.006238,0.006238
40,1.3743,1.9586,1.4055,0.50923,0.35575,0.37335,0.24685,1.2945,1.6368,1.329,0.006139,0.006139,0.006139
41,1.374,1.9512,1.4033,0.50351,0.36056,0.37495,0.24842,1.292,1.6317,1.3262,0.00604,0.00604,0.00604
42,1.3642,1.9467,1.3998,0.51086,0.35848,0.37675,0.24973,1.2896,1.6267,1.3236,0.005941,0.005941,0.005941
43,1.3684,1.9443,1.3988,0.50917,0.3622,0.37869,0.25119,1.2874,1.6212,1.321,0.005842,0.005842,0.005842
44,1.3642,1.9401,1.3958,0.51624,0.36058,0.38026,0.25212,1.2856,1.6166,1.319,0.005743,0.005743,0.005743
45,1.3627,1.9357,1.3963,0.52084,0.3585,0.38149,0.25322,1.284,1.6118,1.3171,0.005644,0.005644,0.005644
46,1.3587,1.9277,1.3913,0.51948,0.35964,0.3828,0.25396,1.2824,1.6076,1.3149,0.005545,0.005545,0.005545
47,1.3591,1.9188,1.3892,0.51956,0.36275,0.38397,0.25476,1.2808,1.6028,1.3128,0.005446,0.005446,0.005446
48,1.3578,1.9143,1.3901,0.5163,0.36599,0.38547,0.25594,1.2795,1.5988,1.3115,0.005347,0.005347,0.005347
49,1.3597,1.9168,1.3901,0.51875,0.36677,0.38654,0.25676,1.278,1.5956,1.3097,0.005248,0.005248,0.005248
