                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,2.5877,4.148,2.6014,0.29628,0.06853,0.04465,0.02205,2.01,3.1632,2.1049,0.070004,0.0033329,0.0033329
1,1.8455,3.1145,1.9311,0.30131,0.15743,0.1218,0.06816,1.7315,2.5975,1.8241,0.039938,0.0066002,0.0066002
2,1.7102,2.784,1.7883,0.32858,0.2062,0.17128,0.10224,1.5995,2.3293,1.6846,0.0098061,0.0098016,0.0098016
3,1.6251,2.5827,1.6932,0.37513,0.23705,0.2155,0.13173,1.5309,2.164,1.6054,0.009703,0.009703,0.009703
4,1.564,2.4273,1.6269,0.39409,0.2578,0.24101,0.15022,1.4893,2.0676,1.5579,0.009703,0.009703,0.009703
5,1.5335,2.3298,1.5904,0.41284,0.26694,0.25528,0.16043,1.4661,2.0105,1.532,0.009604,0.009604,0.009604
6,1.5088,2.2705,1.5677,0.42926,0.27315,0.26572,0.16781,1.45,1.9779,1.515,0.009505,0.009505,0.009505
7,1.4934,2.2195,1.5498,0.43454,0.27938,0.27186,0.1727,1.4395,1.9558,1.5036,0.009406,0.009406,0.009406
8,1.4798,2.1832,1.5338,0.44329,0.28048,0.27681,0.17638,1.432,1.9378,1.4945,0.009307,0.009307,0.009307
9,1.4666,2.1478,1.521,0.44544,0.28324,0.28206,0.18022,1.4248,1.9224,1.4867,0.009208,0.009208,0.009208
10,1.4569,2.1224,1.51,0.45408,0.28743,0.28688,0.18376,1.4177,1.9085,1.4787,0.009109,0.009109,0.009109
11,1.4499,2.1022,1.5027,0.45589,0.29123,0.29143,0.18741,1.4096,1.8943,1.47,0.00901,0.00901,0.00901
12,1.4425,2.0831,1.4915,0.46569,0.29309,0.29653,0.19101,1.4018,1.8798,1.4614,0.008911,0.008911,0.008911
13,1.4367,2.0651,1.4838,0.46735,0.29821,0.30136,0.19446,1.3949,1.8635,1.4531,0.008812,0.008812,0.008812
14,1.4308,2.0493,1.4773,0.45813,0.29944,0.30635,0.19825,1.3885,1.8465,1.445,0.008713,0.008713,0.008713
15,1.4284,2.038,1.473,0.45769,0.30563,0.31153,0.20204,1.3818,1.8298,1.4373,0.008614,0.008614,0.008614
16,1.421,2.0219,1.4649,0.46462,0.30811,0.3165,0.20584,1.376,1.8131,1.4296,0.008515,0.008515,0.008515
17,1.4184,2.016,1.4611,0.46775,0.31107,0.32166,0.20919,1.37,1.7965,1.4224,0.008416,0.008416,0.008416
18,1.4154,2.0032,1.4569,0.46856,0.31879,0.32626,0.21255,1.3635,1.7809,1.415,0.008317,0.008317,0.008317
19,1.4116,1.9915,1.4506,0.48607,0.32141,0.33108,0.21635,1.3579,1.7657,1.4082,0.008218,0.008218,0.008218
20,1.4063,1.9867,1.4475,0.49306,0.3214,0.33475,0.2192,1.3527,1.7516,1.4022,0.008119,0.008119,0.008119
21,1.4048,1.9723,1.4432,0.49251,0.32603,0.33823,0.22192,1.3476,1.737,1.396,0.00802,0.00802,0.00802
22,1.402,1.9634,1.4398,0.50183,0.32716,0.34202,0.22469,1.3427,1.7232,1.3902,0.007921,0.007921,0.007921
23,1.3993,1.9619,1.438,0.50051,0.33122,0.3454,0.22723,1.3382,1.7111,1.3846,0.007822,0.007822,0.007822
24,1.3974,1.9506,1.4352,0.50486,0.33285,0.34867,0.22966,1.3346,1.6997,1.3798,0.007723,0.007723,0.007723
25,1.3935,1.9442,1.4316,0.50985,0.33272,0.35172,0.23189,1.331,1.6889,1.3753,0.007624,0.007624,0.007624
26,1.3913,1.9354,1.4262,0.51282,0.33521,0.355,0.23413,1.3275,1.6783,1.3709,0.007525,0.007525,0.007525
27,1.3911,1.934,1.4261,0.51474,0.33883,0.35797,0.23598,1.3243,1.6693,1.3666,0.007426,0.007426,0.007426
28,1.3896,1.9239,1.4222,0.51223,0.34171,0.36051,0.23805,1.3216,1.6604,1.3624,0.007327,0.007327,0.007327
29,1.3848,1.9169,1.4211,0.51275,0.34301,0.36343,0.24034,1.3181,1.6522,1.358,0.007228,0.007228,0.007228
30,1.3854,1.9131,1.4192,0.51095,0.34788,0.36635,0.24249,1.3156,1.6441,1.3545,0.007129,0.007129,0.007129
31,1.3823,1.9125,1.4194,0.51263,0.35094,0.36897,0.24424,1.3128,1.6362,1.3517,0.00703,0.00703,0.00703
32,1.3809,1.9043,1.4163,0.50282,0.35208,0.3715,0.24624,1.31,1.6287,1.3484,0.006931,0.006931,0.006931
33,1.3774,1.8955,1.4126,0.50396,0.35598,0.37348,0.24762,1.3071,1.6218,1.3452,0.006832,0.006832,0.006832
