                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6122,                 4.6271,                 2.8915,                0.34725,                0.06428,                0.03703,                0.01851,                 1.9842,                 3.4851,                 2.3199,               0.070004,              0.0033329,              0.0033329
                      1,                 1.8368,                 3.5018,                 2.1309,                0.28026,                0.15317,                0.10659,                0.06104,                 1.7136,                 2.8804,                 2.0112,               0.039872,              0.0065342,              0.0065342
                      2,                 1.7093,                 3.1229,                 1.9661,                0.31391,                0.20059,                0.16138,                0.09663,                 1.6007,                 2.5941,                 1.8648,              0.0096081,              0.0096036,              0.0096036
                      3,                 1.6329,                 2.8982,                 1.8662,                0.33483,                0.23284,                0.20278,                0.12446,                 1.5306,                 2.4088,                 1.7714,               0.009406,               0.009406,               0.009406
                      4,                 1.5783,                 2.7223,                 1.7951,                0.36735,                0.24756,                0.23022,                0.14443,                 1.4935,                 2.3044,                 1.7202,               0.009406,               0.009406,               0.009406
                      5,                 1.5438,                 2.6211,                 1.7516,                0.39129,                0.25886,                 0.2468,                0.15593,                 1.4715,                 2.2413,                 1.6902,               0.009208,               0.009208,               0.009208
                      6,                 1.5195,                 2.5408,                 1.7197,                0.40592,                0.26283,                0.25711,                0.16313,                 1.4561,                 2.2045,                 1.6707,                0.00901,                0.00901,                0.00901
                      7,                 1.5017,                 2.4796,                 1.6964,                0.41013,                0.26806,                0.26367,                0.16794,                 1.4466,                 2.1811,                 1.6576,               0.008812,               0.008812,               0.008812
                      8,                 1.4886,                  2.444,                 1.6766,                0.41352,                0.27259,                0.26972,                0.17214,                 1.4399,                 2.1642,                 1.6467,               0.008614,               0.008614,               0.008614
                      9,                 1.4779,                 2.4025,                 1.6623,                0.43155,                0.27463,                0.27399,                0.17543,                 1.4336,                 2.1483,                 1.6368,               0.008416,               0.008416,               0.008416
                     10,                 1.4664,                  2.371,                 1.6466,                0.43915,                 0.2775,                0.27891,                0.17914,                 1.4272,                  2.135,                 1.6271,               0.008218,               0.008218,               0.008218
                     11,                 1.4591,                 2.3429,                 1.6365,                 0.4415,                0.28014,                0.28451,                0.18331,                 1.4209,                 2.1207,                 1.6175,                0.00802,                0.00802,                0.00802
                     12,                 1.4511,                 2.3239,                 1.6258,                0.45111,                0.28393,                0.28921,                0.18718,                 1.4144,                 2.1031,                 1.6074,               0.007822,               0.007822,               0.007822
                     13,                  1.445,                 2.3007,                 1.6189,                0.45277,                0.28935,                0.29452,                0.19098,                 1.4077,                 2.0854,                 1.5977,               0.007624,               0.007624,               0.007624
