                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5973,                  4.753,                 2.9065,                0.42219,                0.03746,                0.02166,                0.00991,                 2.0315,                 3.6907,                 2.3558,               0.070004,              0.0033329,              0.0033329
                      1,                 1.8745,                 3.6603,                 2.1415,                0.26615,                0.12369,                0.08322,                0.04582,                 1.7463,                 3.0001,                 2.0009,               0.039872,              0.0065342,              0.0065342
                      2,                 1.7454,                 3.2384,                 1.9581,                0.30967,                0.17808,                0.13471,                0.07833,                 1.6298,                 2.6836,                  1.847,              0.0096081,              0.0096036,              0.0096036
                      3,                 1.6665,                 2.9999,                 1.8487,                0.34252,                0.21129,                0.17752,                0.10714,                 1.5569,                 2.4858,                 1.7452,               0.009406,               0.009406,               0.009406
                      4,                 1.6083,                 2.8067,                 1.7721,                0.35586,                0.23241,                0.20486,                0.12658,                 1.5157,                 2.3671,                 1.6907,               0.009406,               0.009406,               0.009406
                      5,                 1.5724,                 2.6953,                 1.7267,                0.37542,                0.24493,                0.22406,                0.13946,                 1.4909,                 2.3003,                 1.6591,               0.009208,               0.009208,               0.009208
                      6,                 1.5446,                 2.6113,                 1.6934,                0.38104,                0.25406,                0.23662,                0.14862,                  1.475,                 2.2591,                 1.6403,                0.00901,                0.00901,                0.00901
                      7,                 1.5277,                 2.5408,                 1.6682,                0.37672,                0.25856,                0.24618,                0.15498,                 1.4636,                 2.2336,                 1.6261,               0.008812,               0.008812,               0.008812
                      8,                 1.5134,                 2.5027,                 1.6504,                0.38837,                0.26272,                0.25356,                0.16016,                  1.455,                 2.2142,                 1.6146,               0.008614,               0.008614,               0.008614
                      9,                 1.4999,                 2.4559,                  1.633,                0.39458,                0.26724,                0.25962,                0.16486,                 1.4472,                 2.1979,                 1.6045,               0.008416,               0.008416,               0.008416
                     10,                 1.4876,                 2.4232,                 1.6172,                0.40841,                0.26931,                0.26504,                0.16858,                   1.44,                 2.1828,                 1.5951,               0.008218,               0.008218,               0.008218
                     11,                 1.4797,                 2.3918,                 1.6066,                0.41308,                0.27327,                0.27083,                0.17296,                 1.4323,                 2.1664,                 1.5857,                0.00802,                0.00802,                0.00802
                     12,                 1.4692,                 2.3674,                 1.5949,                  0.417,                0.27483,                 0.2761,                0.17723,                  1.424,                 2.1495,                 1.5759,               0.007822,               0.007822,               0.007822
                     13,                 1.4637,                 2.3413,                 1.5863,                0.42368,                0.27908,                0.28143,                  0.181,                 1.4168,                 2.1355,                 1.5664,               0.007624,               0.007624,               0.007624
                     14,                 1.4557,                 2.3182,                 1.5771,                0.43154,                0.28122,                0.28707,                0.18515,                 1.4102,                 2.1212,                 1.5576,               0.007426,               0.007426,               0.007426
                     15,                 1.4502,                 2.3028,                 1.5691,                0.43261,                0.28716,                0.29304,                0.18942,                 1.4035,                 2.1036,                 1.5487,               0.007228,               0.007228,               0.007228
                     16,                 1.4435,                 2.2811,                  1.562,                0.43796,                0.29448,                0.29882,                0.19333,                 1.3976,                 2.0866,                 1.5405,                0.00703,                0.00703,                0.00703
                     17,                 1.4417,                 2.2637,                 1.5552,                0.44297,                0.29759,                0.30292,                0.19672,                  1.392,                 2.0695,                  1.532,               0.006832,               0.006832,               0.006832
                     18,                  1.435,                  2.247,                 1.5496,                0.45291,                0.30237,                0.30872,                0.20073,                 1.3864,                 2.0517,                 1.5238,               0.006634,               0.006634,               0.006634
                     19,                 1.4299,                 2.2327,                 1.5445,                0.45815,                 0.3061,                 0.3142,                0.20444,                 1.3806,                 2.0339,                 1.5158,               0.006436,               0.006436,               0.006436
                     20,                 1.4268,                 2.2212,                  1.539,                0.47678,                0.31234,                0.31954,                0.20826,                 1.3751,                 2.0166,                 1.5078,               0.006238,               0.006238,               0.006238
                     21,                 1.4209,                 2.2039,                 1.5324,                0.48401,                0.31497,                0.32502,                 0.2126,                 1.3699,                 1.9998,                 1.5006,                0.00604,                0.00604,                0.00604
                     22,                 1.4164,                 2.1861,                 1.5272,                0.48769,                0.31963,                0.33041,                0.21638,                 1.3641,                 1.9828,                 1.4931,               0.005842,               0.005842,               0.005842
                     23,                  1.411,                 2.1752,                 1.5237,                0.49304,                0.32181,                0.33526,                 0.2201,                 1.3588,                 1.9666,                  1.486,               0.005644,               0.005644,               0.005644
                     24,                 1.4069,                 2.1617,                 1.5174,                0.49711,                0.32453,                0.33989,                 0.2236,                 1.3532,                 1.9515,                 1.4788,               0.005446,               0.005446,               0.005446
                     25,                 1.4038,                 2.1499,                 1.5125,                0.50093,                0.32761,                0.34424,                0.22695,                 1.3485,                 1.9373,                 1.4726,               0.005248,               0.005248,               0.005248
                     26,                 1.4011,                 2.1367,                 1.5091,                0.49906,                0.33065,                0.34842,                0.23025,                 1.3441,                 1.9234,                 1.4667,                0.00505,                0.00505,                0.00505
                     27,                 1.3947,                 2.1275,                 1.5035,                0.50547,                0.33227,                0.35214,                0.23298,                 1.3395,                   1.91,                 1.4607,               0.004852,               0.004852,               0.004852
                     28,                 1.3901,                 2.1157,                 1.4968,                0.50467,                0.33709,                0.35625,                0.23624,                 1.3345,                 1.8967,                 1.4544,               0.004654,               0.004654,               0.004654
                     29,                 1.3854,                 2.1014,                 1.4938,                0.50274,                0.34244,                0.35966,                0.23893,                 1.3307,                 1.8848,                 1.4492,               0.004456,               0.004456,               0.004456
                     30,                 1.3838,                 2.0938,                 1.4898,                0.49723,                0.34377,                0.36253,                0.24136,                 1.3275,                 1.8743,                 1.4444,               0.004258,               0.004258,               0.004258
                     31,                 1.3762,                 2.0782,                 1.4831,                0.50088,                0.34513,                0.36592,                0.24406,                 1.3242,                 1.8631,                 1.4397,                0.00406,                0.00406,                0.00406
                     32,                 1.3758,                 2.0691,                 1.4808,                0.50452,                0.34693,                0.36901,                0.24648,                 1.3212,                 1.8533,                 1.4356,               0.003862,               0.003862,               0.003862
                     33,                 1.3684,                 2.0579,                 1.4758,                0.50835,                0.35053,                0.37213,                0.24868,                 1.3181,                 1.8436,                 1.4314,               0.003664,               0.003664,               0.003664
                     34,                 1.3671,                 2.0458,                 1.4716,                0.51135,                0.35337,                0.37531,                0.25122,                 1.3154,                 1.8343,                 1.4271,               0.003466,               0.003466,               0.003466
                     35,                  1.363,                 2.0341,                 1.4675,                0.51624,                0.35345,                0.37792,                 0.2529,                 1.3124,                 1.8248,                  1.423,               0.003268,               0.003268,               0.003268
                     36,                 1.3588,                 2.0194,                 1.4644,                0.51272,                0.35827,                0.38088,                0.25484,                 1.3099,                 1.8166,                 1.4196,                0.00307,                0.00307,                0.00307
                     37,                 1.3552,                 2.0132,                 1.4619,                0.51176,                0.36159,                0.38333,                0.25657,                 1.3074,                 1.8087,                 1.4163,               0.002872,               0.002872,               0.002872
                     38,                 1.3472,                 1.9963,                 1.4544,                0.51424,                0.36312,                0.38581,                 0.2584,                  1.305,                 1.8014,                 1.4128,               0.002674,               0.002674,               0.002674
                     39,                 1.3465,                 1.9882,                 1.4525,                0.51527,                0.36565,                0.38767,                0.26004,                 1.3025,                 1.7948,                 1.4095,               0.002476,               0.002476,               0.002476
                     40,                 1.3414,                 1.9687,                 1.4492,                0.52017,                0.36642,                0.39033,                0.26187,                 1.3002,                 1.7876,                 1.4064,               0.002278,               0.002278,               0.002278
                     41,                 1.3371,                 1.9588,                 1.4447,                0.51898,                0.37067,                0.39267,                0.26392,                 1.2986,                  1.781,                 1.4041,                0.00208,                0.00208,                0.00208
                     42,                 1.3336,                 1.9474,                 1.4408,                0.52565,                0.37177,                 0.3948,                0.26563,                  1.297,                 1.7743,                 1.4016,               0.001882,               0.001882,               0.001882
                     43,                 1.3294,                 1.9361,                 1.4369,                0.52758,                0.37365,                0.39731,                0.26758,                  1.295,                 1.7675,                 1.3989,               0.001684,               0.001684,               0.001684
                     44,                 1.3231,                 1.9233,                  1.431,                0.53351,                0.37459,                0.39945,                0.26929,                 1.2931,                 1.7603,                 1.3962,               0.001486,               0.001486,               0.001486
                     45,                 1.3178,                 1.9045,                 1.4285,                0.53446,                0.37666,                 0.4011,                0.27066,                 1.2914,                 1.7528,                 1.3938,               0.001288,               0.001288,               0.001288
                     46,                 1.3146,                 1.8945,                 1.4247,                0.53594,                0.37935,                0.40351,                0.27224,                 1.2898,                 1.7447,                 1.3913,                0.00109,                0.00109,                0.00109
                     47,                 1.3073,                 1.8793,                 1.4204,                0.53078,                0.38407,                0.40582,                0.27396,                  1.288,                 1.7361,                 1.3888,               0.000892,               0.000892,               0.000892
                     48,                 1.3042,                 1.8684,                 1.4175,                0.53148,                0.38575,                0.40812,                 0.2755,                  1.286,                 1.7285,                 1.3863,               0.000694,               0.000694,               0.000694
                     49,                 1.2974,                 1.8532,                 1.4121,                0.53302,                0.38759,                0.41054,                0.27696,                 1.2842,                 1.7198,                 1.3837,               0.000496,               0.000496,               0.000496
